don't,do not
doesn't,does not
can't,cannot
isn't,is not
won't,will not
wasn't,was not
weren't,were not
haven't,have not
hasn't,has not
hadn't,had not
couldn't,could not
shouldn't,should not
wouldn't,would not
it's,it is
I'm,I am
you're,you are
he's,he is
she's,she is
we're,we are
they're,they are
I've,I have
you've,you have
we've,we have
they've,they have
I'll,I will
you'll,you will
he'll,he will
she'll,she will
we'll,we will
they'll,they will
I'd,I would
you'd,you would
he'd,he would
she'd,she would
we'd,we would
they'd,they would
I won't,I will not
you won't,you will not
he won't,he will not
she won't,she will not
we won't,we will not
they won't,they will not
